method,seed,mashup_id,rank,api_id,is_positive
SCF-LightGCN+BGE+Popularity,2,3,1,624,1
SCF-LightGCN+BGE+Popularity,2,3,2,892,0
SCF-LightGCN+BGE+Popularity,2,3,3,765,0
SCF-LightGCN+BGE+Popularity,2,3,4,1022,0
SCF-LightGCN+BGE+Popularity,2,3,5,1162,0
SCF-LightGCN+BGE+Popularity,2,3,6,1271,0
SCF-LightGCN+BGE+Popularity,2,3,7,77,0
SCF-LightGCN+BGE+Popularity,2,3,8,196,0
SCF-LightGCN+BGE+Popularity,2,3,9,381,0
SCF-LightGCN+BGE+Popularity,2,3,10,1420,0
SCF-LightGCN+BGE+Popularity,2,6,1,624,1
SCF-LightGCN+BGE+Popularity,2,6,2,1590,1
SCF-LightGCN+BGE+Popularity,2,6,3,554,1
SCF-LightGCN+BGE+Popularity,2,6,4,750,0
SCF-LightGCN+BGE+Popularity,2,6,5,652,0
SCF-LightGCN+BGE+Popularity,2,6,6,1130,1
SCF-LightGCN+BGE+Popularity,2,6,7,726,0
SCF-LightGCN+BGE+Popularity,2,6,8,1162,1
SCF-LightGCN+BGE+Popularity,2,6,9,661,0
SCF-LightGCN+BGE+Popularity,2,6,10,1379,0
SCF-LightGCN+BGE+Popularity,2,8,1,624,1
SCF-LightGCN+BGE+Popularity,2,8,2,1376,0
SCF-LightGCN+BGE+Popularity,2,8,3,1278,0
SCF-LightGCN+BGE+Popularity,2,8,4,1079,0
SCF-LightGCN+BGE+Popularity,2,8,5,867,1
SCF-LightGCN+BGE+Popularity,2,8,6,726,0
SCF-LightGCN+BGE+Popularity,2,8,7,122,0
SCF-LightGCN+BGE+Popularity,2,8,8,1447,0
SCF-LightGCN+BGE+Popularity,2,8,9,892,0
SCF-LightGCN+BGE+Popularity,2,8,10,820,0
SCF-LightGCN+BGE+Popularity,2,9,1,624,1
SCF-LightGCN+BGE+Popularity,2,9,2,1008,0
SCF-LightGCN+BGE+Popularity,2,9,3,77,0
SCF-LightGCN+BGE+Popularity,2,9,4,867,1
SCF-LightGCN+BGE+Popularity,2,9,5,990,1
SCF-LightGCN+BGE+Popularity,2,9,6,598,0
SCF-LightGCN+BGE+Popularity,2,9,7,765,0
SCF-LightGCN+BGE+Popularity,2,9,8,1399,0
SCF-LightGCN+BGE+Popularity,2,9,9,1248,0
