method,seed,mashup_id,rank,api_id,is_positive
SCF-LightGCN+BGE+Popularity,1,3,1,624,1
SCF-LightGCN+BGE+Popularity,1,3,2,1162,0
SCF-LightGCN+BGE+Popularity,1,3,3,892,0
SCF-LightGCN+BGE+Popularity,1,3,4,1271,0
SCF-LightGCN+BGE+Popularity,1,3,5,1022,0
SCF-LightGCN+BGE+Popularity,1,3,6,765,0
SCF-LightGCN+BGE+Popularity,1,3,7,77,0
SCF-LightGCN+BGE+Popularity,1,3,8,1420,0
SCF-LightGCN+BGE+Popularity,1,3,9,196,0
SCF-LightGCN+BGE+Popularity,1,3,10,1064,0
SCF-LightGCN+BGE+Popularity,1,6,1,624,1
SCF-LightGCN+BGE+Popularity,1,6,2,1590,1
SCF-LightGCN+BGE+Popularity,1,6,3,554,1
SCF-LightGCN+BGE+Popularity,1,6,4,750,0
SCF-LightGCN+BGE+Popularity,1,6,5,652,0
SCF-LightGCN+BGE+Popularity,1,6,6,1162,1
SCF-LightGCN+BGE+Popularity,1,6,7,1130,1
SCF-LightGCN+BGE+Popularity,1,6,8,1379,0
SCF-LightGCN+BGE+Popularity,1,6,9,726,0
SCF-LightGCN+BGE+Popularity,1,6,10,1100,0
SCF-LightGCN+BGE+Popularity,1,8,1,624,1
SCF-LightGCN+BGE+Popularity,1,8,2,867,1
SCF-LightGCN+BGE+Popularity,1,8,3,1376,0
SCF-LightGCN+BGE+Popularity,1,8,4,762,0
SCF-LightGCN+BGE+Popularity,1,8,5,196,0
SCF-LightGCN+BGE+Popularity,1,8,6,765,0
SCF-LightGCN+BGE+Popularity,1,8,7,892,0
SCF-LightGCN+BGE+Popularity,1,8,8,1447,0
SCF-LightGCN+BGE+Popularity,1,8,9,1077,0
SCF-LightGCN+BGE+Popularity,1,8,10,750,0
SCF-LightGCN+BGE+Popularity,1,9,1,624,1
SCF-LightGCN+BGE+Popularity,1,9,2,1008,0
SCF-LightGCN+BGE+Popularity,1,9,3,867,1
SCF-LightGCN+BGE+Popularity,1,9,4,598,0
SCF-LightGCN+BGE+Popularity,1,9,5,196,0
SCF-LightGCN+BGE+Popularity,1,9,6,77,0
SCF-LightGCN+BGE+Popularity,1,9,7,990,1
SCF-LightGCN+BGE+Popularity,1,9,8,1248,0
SCF-LightGCN+BGE+Popularity,1,9,9,1253,0
SCF-LightGCN+BGE+Popularity,1,9,10,1399,0
SCF-LightGCN+BGE+Popularity,1,16,1,624,1
SCF-LightGCN+BGE+Popularity,1,16,2,1022,1
SCF-LightGCN+BGE+Popularity,1,16,3,1362,0
SCF-LightGCN+BGE+Popularity,1,16,4,416,0
SCF-LightGCN+BGE+Popularity,1,16,5,726,0
SCF-LightGCN+BGE+Popularity,1,16,6,1162,0
SCF-LightGCN+BGE+Popularity,1,16,7,226,0
SCF-LightGCN+BGE+Popularity,1,16,8,1041,0
SCF-LightGCN+BGE+Popularity,1,16,9,892,0
SCF-LightGCN+BGE+Popularity,1,16,10,77,0
SCF-LightGCN+BGE+Popularity,1,23,1,624,1
SCF-LightGCN+BGE+Popularity,1,23,2,892,1
SCF-LightGCN+BGE+Popularity,1,23,3,1162,0
SCF-LightGCN+BGE+Popularity,1,23,4,889,0
SCF-LightGCN+BGE+Popularity,1,23,5,196,0
SCF-LightGCN+BGE+Popularity,1,23,6,239,0
SCF-LightGCN+BGE+Popularity,1,23,7,89,0
SCF-LightGCN+BGE+Popularity,1,23,8,1052,0
SCF-LightGCN+BGE+Popularity,1,23,9,765,0
SCF-LightGCN+BGE+Popularity,1,23,10,1229,0
SCF-LightGCN+BGE+Popularity,1,25,1,624,1
